SIREN,SIRET,Activité principale de l'établissement,Code postal de l'établissement,Commune de l'établissement,Libellé de la commune de l'établissement à l'étranger,Code commune de l'établissement,Code postal de l'établissement 2,Libellé de la commune de l'établissement 2,Libellé de la commune de l'établissement étranger 2,Code de la commune de l'établissement 2,Dénomination usuelle de l'établissement,Activité principale de l'établissement.1,Dénomination de l'unité légale,Dénomination usuelle de l'unité légale 1,Dénomination usuelle de l'unité légale 2,Dénomination usuelle de l'unité légale 3,Activité principale de l'unité légale,Nomenclature de l'activité principale de l'unité légale,SIRET du siège de l'unité légale,Géolocalisation de l'établissement
989186788,98918678800018,,75008,PARIS,,75108,,,,,,45.20A,,,,,45.20A,NAFRev2,98918678800018.0,"48.869893, 2.30194"
919928366,91992836600013,,20110,VIGGIANELLO,,2A349,,,,,,68.20B,VANESSA,,,,68.20B,NAFRev2,91992836600013.0,"41.6712, 8.923683"
981599061,98159906100018,,93700,DRANCY,,93029,,,,,,49.32Z,,,,,49.32Z,NAFRev2,98159906100018.0,"48.923926, 2.448298"
404360208,40436020800015,,53320,BEAULIEU-SUR-OUDON,,53026,,,,,,01.11Z,,,,,01.11Z,NAFRev2,40436020800015.0,"47.971826, -0.993188"
948138011,94813801100010,,38980,VIRIVILLE,,38561,,,,,,70.22Z,SOPHIE GAUDIN CONSULTING,,,,70.22Z,NAFRev2,94813801100010.0,"45.311254, 5.192635"
913601571,91360157100015,,97212,SAINT-JOSEPH,,97224,,,,,,93.29Z,EXOTIKDIVE,,,,93.29Z,NAFRev2,91360157100015.0,"14.649208, -61.033367"
940203953,94020395300010,,75015,PARIS,,75115,,,,,,33.20A,WELDING SERVICES,,,,33.20A,NAFRev2,94020395300010.0,"48.838062, 2.289188"
333819852,33381985200018,,97190,LE GOSIER,,97113,,,,,,43.99C,,,,,43.99C,NAFRev2,33381985200018.0,"16.231944, -61.457133"
309122992,30912299200014,,75020,PARIS,,75120,,,,,,47.11B,IDELLA AHMED ET AKDIN MILOUD,,,,47.11B,NAFRev2,30912299200014.0,"48.847613, 2.412531"
832465256,83246525600010,,71510,SAINT-LEGER-SUR-DHEUNE,,71442,,,,,,66.19A,SOCIETE CIVILE DE MOYENS DES DOCTEURS BREUILLOT ET JOSUAT,,,,66.19A,NAFRev2,83246525600010.0,"46.847774, 4.638507"
790140438,79014043800017,4321AB,91350,GRIGNY,,91286,,,,,,43.12A,FLTP SAS,,,,43.12A,NAFRev2,79014043800017.0,"48.647567, 2.376346"
919453431,91945343100018,,34120,TOURBES,,34311,,,,,,62.01Z,WHOSBOX,,,,62.01Z,NAFRev2,91945343100018.0,"43.444237, 3.387262"
498386275,49838627500040,,39570,CHILLE,,39145,,,,,,68.20A,,,,,68.20A,NAFRev2,49838627500040.0,"46.694279, 5.576227"
319624441,31962444100022,,51240,SONGY,,51552,,,,,,01.11Z,PHELIZON,,,,01.11Z,NAFRev2,31962444100022.0,"48.8034, 4.502444"
935065375,93506537500021,,[ND],MARSEILLE,,13205,[ND],,,,[ND],68.20A,[ND],[ND],[ND],[ND],68.20A,NAFRev2,93506537500021.0,"43.292388629, 5.398198756"
934047408,93404740800018,,[ND],MARSEILLE,,13208,[ND],,,,[ND],82.11Z,[ND],[ND],[ND],[ND],82.11Z,NAFRev2,93404740800018.0,"43.237719202, 5.374853726"
844751222,84475122200010,,38330,SAINT-ISMIER,,38397,,,,,,46.69B,KARAK,,,,46.69B,NAFRev2,84475122200010.0,"45.243694, 5.829812"
943479923,94347992300014,,29200,BREST,,29019,,,,,,53.20Z,,,,,53.20Z,NAFRev2,94347992300014.0,"48.393561, -4.468528"
830341244,83034124400028,,13320,BOUC-BEL-AIR,,13015,,,,,,86.90F,,,,,86.90F,NAFRev2,83034124400028.0,"43.442225, 5.421083"
984251983,98425198300016,,64410,SEBY,,64514,,,,,,62.01Z,SOFTCAZE,,,,62.01Z,NAFRev2,98425198300016.0,"43.469679, -0.401642"
977536267,97753626700015,,[ND],VERNY,,57708,[ND],,,,[ND],96.09Z,[ND],[ND],[ND],[ND],96.09Z,NAFRev2,97753626700015.0,"49.007297271, 6.203038292"
921540886,92154088600014,9511ZZ,47510,FOULAYRONNES,,47100,,,,,MCIF,46.51Z,MCIF,,,,46.51Z,NAFRev2,92154088600014.0,"44.224833, 0.632645"
789160504,78916050400021,8121ZZ,38920,CROLLES,,38140,,,,,PRO NET 38,81.21Z,,,,,81.21Z,NAFRev2,78916050400021.0,"45.273826, 5.874008"
917518763,91751876300029,,37000,TOURS,,37261,,,,,MARION RICHE,70.21Z,,,,,70.21Z,NAFRev2,91751876300029.0,"47.38655, 0.6741"
835369604,83536960400029,3320AZ,75016,PARIS,,75116,,,,,,33.20A,SASU ADAO TUYAUTERIE SOUDURE,,,,33.20A,NAFRev2,83536960400029.0,"48.843472, 2.259996"
933756355,93375635500014,,68630,MITTELWIHR,,68209,,,,,,56.10A,SAS LA COLLINE,,,,56.10A,NAFRev2,93375635500014.0,"48.152728, 7.321519"
851240135,85124013500034,,83520,ROQUEBRUNE-SUR-ARGENS,,83107,,,,,,49.41B,HORIZON TRANSPORTS,,,,49.41B,NAFRev2,85124013500034.0,"43.488855, 6.65338"
954084844,95408484400016,,65320,BORDERES-SUR-L'ECHEZ,,65100,,,,,,68.20B,LAPACHOUA,,,,68.20B,NAFRev2,95408484400016.0,"43.263777, 0.04548"
794591362,79459136200015,,95100,ARGENTEUIL,,95018,,,,,,47.99A,,,,,47.99A,NAFRev2,79459136200015.0,"48.94706, 2.241572"
434891800,43489180000014,,33114,LE BARP,,33029,,,,,,68.20B,JADE,,,,68.20B,NAFRev2,43489180000014.0,"44.607399, -0.769223"
419135652,41913565200016,,65200,ASTE,,65042,,,,,,01.42Z,,,,,01.42Z,NAFRev2,41913565200016.0,"43.040397, 0.160433"
884588211,88458821100018,,33200,BORDEAUX,,33063,,,,,,64.20Z,HOLDING MARLO,,,,64.20Z,NAFRev2,88458821100018.0,"44.856175, -0.60621"
492879788,49287978800015,,97232,LE LAMENTIN,,97213,,,,,,68.20B,SCI ACAJOU 2000,,,,68.20B,NAFRev2,49287978800015.0,"14.617111, -60.999862"
899949994,89994999400011,,[ND],PARIS,,75117,[ND],,,,[ND],74.20Z,[ND],[ND],[ND],[ND],74.20Z,NAFRev2,89994999400011.0,"48.887331019, 2.306778316"
484352364,48435236400083,,75003,PARIS,,75103,,,,,,78.10Z,ITTAKA,,,,78.10Z,NAFRev2,48435236400083.0,"48.8651, 2.355889"
940060338,94006033800016,,75004,PARIS,,75104,,,,,PRIVE PARIS !,96.09Z,,,,,96.09Z,NAFRev2,94006033800016.0,"48.857629, 2.354625"
384984431,38498443100021,,24490,LA ROCHE-CHALAIS,,24354,,,,,MOTTARD JEAN-LOUIS,02.10Z,,,,,02.10Z,NAFRev2,38498443100021.0,"45.15214, 0.078581"
919539510,91953951000017,,37240,BOSSEE,,37029,,,,,,68.20B,ELOJLJ,,,,68.20B,NAFRev2,91953951000017.0,"47.128365, 0.71067"
847688371,84768837100024,,[ND],PORT-LOUIS,,97122,[ND],,,,[ND],82.11Z,[ND],[ND],[ND],[ND],82.11Z,NAFRev2,84768837100024.0,"16.426229442, -61.496059679"
832001135,83200113500025,,06300,NICE,,06088,,,,,,70.22Z,,,,,70.22Z,NAFRev2,83200113500025.0,"43.710994, 7.292168"
811673581,81167358100013,,38090,VILLEFONTAINE,,38553,,,,,,68.20A,,,,,68.20A,NAFRev2,81167358100013.0,"45.609632, 5.145685"
482901261,48290126100016,,75009,PARIS,,75109,,,,,,96.02A,MH PARIS 9,,,,96.02A,NAFRev2,48290126100016.0,"48.878678, 2.327213"
749881520,74988152000011,,36320,VILLEDIEU-SUR-INDRE,,36241,,,,,,68.20B,SCI MATH-TISS,,,,68.20B,NAFRev2,74988152000011.0,"46.847159, 1.539368"
514754944,51475494400015,,13009,MARSEILLE,,13209,,,,,,94.99Z,ASSOCIATION COMMUNAUTAIREKEHILA HAYE OLAM,,,,94.99Z,NAFRev2,51475494400015.0,"43.267525, 5.411291"
392475166,39247516600113,8211ZP,44300,NANTES,,44109,,,,,MULTI PRO SERVICES,82.11Z,,AU PAYS DE WAPPY,,,82.11Z,NAFRev2,39247516600113.0,"47.237349, -1.527562"
841539653,84153965300011,,72220,ECOMMOY,,72124,,,,,,68.20B,VET'UNION,,,,68.20B,NAFRev2,84153965300011.0,"47.831569, 0.27139"
803286848,80328684800012,,69200,VENISSIEUX,,69259,,,,,,62.01Z,,,,,62.01Z,NAFRev2,80328684800012.0,"45.718563, 4.908853"
529343436,52934343600018,,10340,LES RICEYS,,10317,,,,,,01.21Z,,,,,01.21Z,NAFRev2,52934343600018.0,"48.005757, 4.36774"
877544999,87754499900015,,[ND],BOBIGNY,,93008,[ND],,,,[ND],53.20Z,[ND],[ND],[ND],[ND],53.20Z,NAFRev2,87754499900015.0,"48.907435801, 2.439842933"
991693490,99169349000013,,60480,REUIL-SUR-BRECHE,,60535,,,,,,68.20B,SCI LES SIPIONS,,,,68.20B,NAFRev2,99169349000013.0,"49.518706, 2.224158"
913385456,91338545600037,,59800,LILLE,,59350,,,,,TALID,70.21Z,,,,,70.21Z,NAFRev2,91338545600037.0,"50.630563, 3.052839"
515302362,51530236200014,4399CZ,93800,EPINAY-SUR-SEINE,,93031,,,,,,43.99C,MRC BATIMENT,,,,43.99C,NAFRev2,51530236200014.0,"48.954738, 2.326899"
943563908,94356390800012,,56290,PORT-LOUIS,,56181,,,,,,10.71C,BOULANGERIE PORZH LOUIS,,,,10.71C,NAFRev2,94356390800012.0,"47.707283, -3.353752"
982425787,98242578700016,,[ND],MAUGES-SUR-LOIRE,,49244,[ND],,,,[ND],01.45Z,[ND],[ND],[ND],[ND],01.45Z,NAFRev2,98242578700016.0,"47.341001034, -0.928035077"
893817460,89381746000015,,43100,BRIOUDE,,43040,,,,,,86.90D,CABINET INFIRMIER FAURE DANIEL,,,,86.90D,NAFRev2,89381746000015.0,"45.292568, 3.384807"
978477461,97847746100013,,[ND],LEVIER,,25334,[ND],,,,[ND],82.11Z,[ND],[ND],[ND],[ND],82.11Z,NAFRev2,97847746100013.0,"46.959668626, 6.11213352"
403783707,40378370700017,4332AA,19190,BEYNAT,,19023,,,,,,43.32A,,,,,43.32A,NAFRev2,40378370700017.0,"45.143464, 1.721486"
835034158,83503415800047,,94130,NOGENT-SUR-MARNE,,94052,,,,,LMNP NOGENT,68.20A,,,,,68.20A,NAFRev2,83503415800047.0,"48.843663, 2.486315"
991514555,99151455500010,,29260,PLOUDANIEL,,29179,,,,,,81.30Z,CALVEZ ENTRETIEN,,,,81.30Z,NAFRev2,99151455500010.0,"48.51311, -4.304844"
334722998,33472299800013,,76200,DIEPPE,,76217,,,,,,93.12Z,GYMNASTIQUE VOLONTAIRE,,,,93.12Z,NAFRev2,33472299800013.0,"49.922059, 1.074444"
917929648,91792964800017,,17600,CORME-ECLUSE,,17119,,,,,,68.20B,D'ANGOUMOIS,,,,68.20B,NAFRev2,91792964800017.0,"45.656811, -0.884532"
750201048,75020104800014,,97190,LE GOSIER,,97113,,,,,,68.20B,SNC ORENOQUE,,,,68.20B,NAFRev2,75020104800014.0,"16.217333, -61.529638"
508751575,50875157500012,,59000,LILLE,,59350,,,,,,94.99Z,ECOUTILLE,,,,94.99Z,NAFRev2,50875157500012.0,"50.632626, 3.005776"
404369902,40436990200030,,37000,TOURS,,37261,,,,,,90.03A,,,,,90.03A,NAFRev2,40436990200030.0,"47.392087, 0.70279"
419556402,41955640200016,,33270,FLOIRAC,,33167,,,,,,90.01Z,CULTURES ET MUSIQUES,,,,90.01Z,NAFRev2,41955640200016.0,"44.837816, -0.521161"
953498888,95349888800015,,[ND],LILLE,,59350,[ND],,,,[ND],43.21A,[ND],[ND],[ND],[ND],43.21A,NAFRev2,95349888800015.0,"50.631855028, 3.046986424"
751746157,75174615700039,,14240,CAUMONT-SUR-AURE,,14143,,,,,,85.53Z,,,,,85.53Z,NAFRev2,75174615700039.0,"49.091502, -0.805628"
514729623,51472962300017,4334ZC,58300,SAINT-LEGER-DES-VIGNES,,58250,,,,,,43.34Z,EURL COUTURE,EURL COUTURE,,,43.34Z,NAFRev2,51472962300017.0,"46.844329, 3.455672"
948382445,94838244500013,,75015,PARIS,,75115,,,,,GIOIA MEDIA,73.11Z,,,,,73.11Z,NAFRev2,94838244500013.0,"48.847837, 2.284458"
899527758,89952775800010,,97432,SAINT-PIERRE,,97416,,,,,,53.20Z,,,,,53.20Z,NAFRev2,89952775800010.0,"-21.27211, 55.492588"
413024266,41302426600038,,59800,LILLE,,59350,,,,,,68.20B,FOLIES DOUCES,,,,68.20B,NAFRev2,41302426600038.0,"50.641942, 3.065802"
840835557,84083555700025,,62480,LE PORTEL,,62667,,,,,,62.02A,OPALE IT,,,,62.02A,NAFRev2,84083555700025.0,"50.704902, 1.570559"
791922891,79192289100019,,69510,THURINS,,69249,,,,,,70.10Z,NOAILLY,,,,00.00Z,NAFRev2,79192289100019.0,"45.679374, 4.649549"
977547827,97754782700013,,58270,ANLEZY,,58006,,,,,,68.31Z,,,,,68.31Z,NAFRev2,97754782700013.0,"46.954771, 3.513445"
978264190,97826419000015,,[ND],BOURG-SAINT-ANDEOL,,07042,[ND],,,,[ND],93.29Z,[ND],[ND],[ND],[ND],93.29Z,NAFRev2,97826419000015.0,"44.382956615, 4.613976099"
791532690,79153269000017,,73000,CHAMBERY,,73065,,,,,,90.02Z,ARE YOU STONED INC,,,,90.02Z,NAFRev2,79153269000017.0,"45.565679, 5.926828"
924565443,92456544300018,,[ND],CRETEIL,,94028,[ND],,,,[ND],74.10Z,[ND],[ND],[ND],[ND],74.10Z,NAFRev2,92456544300018.0,"48.783767872, 2.454727686"
949830590,94983059000012,,06950,FALICON,,06060,,,,,,68.20B,NISSA,,,,68.20B,NAFRev2,94983059000012.0,"43.758533, 7.266568"
424923746,42492374600020,,[ND],CHARENTON-LE-PONT,,94018,[ND],,,,[ND],90.03A,[ND],[ND],[ND],[ND],90.03A,NAFRev2,42492374600020.0,"48.822572708, 2.406597157"
942640400,94264040000019,,75017,PARIS,,75117,,,,,,53.20Z,,,,,53.20Z,NAFRev2,94264040000019.0,"48.887802, 2.324764"
952163988,95216398800019,,[ND],MENERBES,,84073,[ND],,,,[ND],70.22Z,[ND],[ND],[ND],[ND],70.22Z,NAFRev2,95216398800019.0,"43.824118794, 5.221006415"
987882297,98788229700011,,59150,WATTRELOS,,59650,,,,,,53.20Z,,,,,53.20Z,NAFRev2,98788229700011.0,"50.704835, 3.230627"
834224396,83422439600020,,63000,CLERMONT-FERRAND,,63113,,,,,,68.20B,LEOR,,,,68.20B,NAFRev2,83422439600020.0,"45.773489, 3.080219"
852393289,85239328900016,,29150,CHATEAULIN,,29026,,,,,,56.30Z,TY BREIZH,,,,56.30Z,NAFRev2,85239328900016.0,"48.196244, -4.094752"
919999516,91999951600017,,94800,VILLEJUIF,,94076,,,,,,70.22Z,ARES CONSULTING,,,,70.22Z,NAFRev2,91999951600017.0,"48.796788, 2.36807"
537994600,53799460000014,8121ZZ,16390,PALLUAUD,,16254,,,,,,81.21Z,,,,,81.21Z,NAFRev2,53799460000014.0,
989802020,98980202000010,,75004,PARIS,,75104,,,,,,68.20B,COWORKING SANTE,,,,68.20B,NAFRev2,98980202000010.0,"48.86112, 2.349902"
908965569,90896556900019,,[ND],LA GAUBRETIERE,,85097,[ND],,,,[ND],59.11B,[ND],[ND],[ND],[ND],59.11B,NAFRev2,90896556900019.0,"46.934681465, -1.055641532"
979705613,97970561300011,,[ND],NIMES,,30189,[ND],,,,[ND],74.10Z,[ND],[ND],[ND],[ND],74.10Z,NAFRev2,97970561300011.0,"43.844657847, 4.347591011"
429016116,42901611600015,,02760,HOLNON,,02382,,,,,,68.20A,SCI DALTROFF,,,,68.20A,NAFRev2,42901611600015.0,"49.857207, 3.213814"
424819803,42481980300018,,73440,LES BELLEVILLE,,73257,,,,,,68.20B,,,,,68.20B,NAFRev2,42481980300018.0,"45.37005, 6.513278"
354019523,35401952300043,,[ND],PARIS,,75108,[ND],,,,[ND],69.10Z,[ND],[ND],[ND],[ND],69.10Z,NAFRev2,35401952300043.0,"48.872724651, 2.312557861"
945154995,94515499500019,,51100,REIMS,,51454,,,,,,93.12Z,SPORTING CLUB DE REIMS (SCR),,,,93.12Z,NAFRev2,94515499500019.0,"49.235339, 4.026516"
819141730,81914173000013,,22980,PLELAN-LE-PETIT,,22180,,,,,,68.20B,SCI OSTEOPHONIE,,,,68.20B,NAFRev2,81914173000013.0,"48.43556, -2.221058"
423156272,42315627200035,,47110,LE TEMPLE-SUR-LOT,,47306,,,,,,93.12Z,COMITE DU LOT ET GARONNE DE RUGBY A XIII,,,,93.12Z,NAFRev2,42315627200035.0,
305588634,30558863400041,,13190,ALLAUCH,,13002,,,,,,47.78C,FLEURENT SA,,,,47.78C,NAFRev2,30558863400041.0,"43.318087, 5.472548"
798355046,79835504600029,,69510,THURINS,,69249,,,,,,85.52Z,,,,,85.52Z,NAFRev2,79835504600029.0,"45.680571, 4.638461"
445014665,44501466500027,,75005,PARIS,,75105,,,,,,68.20B,SCI LES ENFANTS CERM,,,,68.20B,NAFRev2,44501466500027.0,"48.846503, 2.340614"
820414365,82041436500016,,75001,PARIS,,75101,,,,,,68.20B,SCI JULIETTE MARCADET,,,,68.20B,NAFRev2,82041436500016.0,"48.864082, 2.342613"
348932559,34893255900019,,10160,AIX-VILLEMAUR-PALIS,,10003,,,,,,01.11Z,,,,,01.11Z,NAFRev2,34893255900019.0,"48.225703, 3.729189"
403611973,40361197300013,,62400,BETHUNE,,62119,,,,,,81.10Z,SYNDIC COPROPRIETE RESIDENCE DE FRANCE,,,,81.10Z,NAFRev2,40361197300013.0,"50.528715, 2.63911"
943013516,94301351600019,,[ND],BEAUFORT-EN-SANTERRE,,80067,[ND],,,,[ND],96.02B,[ND],[ND],[ND],[ND],96.02B,NAFRev2,94301351600019.0,"49.781649568, 2.661666861"
953484177,95348417700019,,41160,MOREE,,41154,,,,,,68.20B,SCI SORGIATI-LAFORET,,,,68.20B,NAFRev2,95348417700019.0,"47.900841, 1.233902"
914923412,91492341200011,,92100,BOULOGNE-BILLANCOURT,,92012,,,,,,68.20B,S.C.I ZOROASTRE,,,,68.20B,NAFRev2,91492341200011.0,"48.836527, 2.228026"
929674547,92967454700013,,35420,SAINT-GEORGES-DE-REINTEMBAULT,,35271,,,,,L'OASIS DU BIEN-ETRE,68.20A,,,,,68.20A,NAFRev2,92967454700013.0,"48.528883, -1.218357"
922480447,92248044700023,,17220,SALLES-SUR-MER,,17420,,,,,GLAP,68.20B,GLAP,,,,68.20B,NAFRev2,92248044700023.0,"46.124418, -1.045612"
823602081,82360208100015,,34970,LATTES,,34129,,,,,,68.20A,INDIVISION LMNP DUAULT,,,,68.20A,NAFRev2,82360208100015.0,"43.565835, 3.912104"
923653893,92365389300027,,69008,LYON,,69388,,,,,,94.99Z,BUREAU DES ETUDIANTS CARPEBUSINESS MANAGEMENT,,,,94.99Z,NAFRev2,92365389300027.0,"45.747183, 4.859749"
383898335,38389833500021,,59800,LILLE,,59350,,,,,,68.20B,SCI DE L ORANGERIE,,,,68.20B,NAFRev2,38389833500021.0,"50.63306, 3.062261"
535036917,53503691700024,,75014,PARIS,,75114,,,,,,86.90E,,,,,86.90E,NAFRev2,53503691700024.0,"48.829796, 2.310073"
305406365,30540636500018,4520AB,64000,PAU,,64445,,,,,,45.20A,DAVANT,,,,45.20A,NAFRev2,30540636500018.0,"43.318439, -0.34444"
514742683,51474268300014,4322AZ,83340,LE THORONET,,83136,,,,,,43.22A,,,,,43.22A,NAFRev2,51474268300014.0,"43.437065, 6.360578"
398342303,39834230300078,,56100,LORIENT,,56121,,,,,,94.99Z,CLASSE MINI 6.50,,,,94.99Z,NAFRev2,39834230300078.0,"47.734655, -3.365374"
529381527,52938152700017,,73100,GRESY-SUR-AIX,,73128,,,,,,94.99Z,ASSO CANTONALE DE PARTENARIAT INTERNATIONAL DE GRESY SUR AIX,,,,94.99Z,NAFRev2,52938152700017.0,"45.713424, 5.930788"
993995711,99399571100013,,29480,LE RELECQ-KERHUON,,29235,,,,,,82.11Z,LAYAD,,,,82.11Z,NAFRev2,99399571100013.0,"48.407943, -4.412007"
921729034,92172903400014,,97400,SAINT-DENIS,,97411,,,,,,94.99Z,BLP 974,,,,94.99Z,NAFRev2,92172903400014.0,"-20.890349, 55.456848"
914173505,91417350500019,,[ND],TOULOUSE,,31555,[ND],,,,[ND],23.41Z,[ND],[ND],[ND],[ND],23.41Z,NAFRev2,91417350500019.0,"43.596037953, 1.432094901"
908921919,90892191900019,,[ND],MONTPELLIER,,34172,[ND],,,,[ND],69.10Z,[ND],[ND],[ND],[ND],69.10Z,NAFRev2,90892191900019.0,"43.61335437, 3.869264054"
977478999,97747899900013,,21240,TALANT,,21617,,,,,,71.20B,,,,,71.20B,NAFRev2,97747899900013.0,"47.325615, 5.009245"
829680487,82968048700016,,50720,SAINT-GEORGES-DE-ROUELLEY,,50474,,,,,,85.52Z,ECOLE DE MUSIQUE DE ST GEORGES DE ROUELLEY,,,,85.52Z,NAFRev2,82968048700016.0,"48.603225, -0.767614"
894421171,89442117100014,,69120,VAULX-EN-VELIN,,69256,,,,,,77.11A,BF LOC,,,,77.11A,NAFRev2,89442117100014.0,"45.784794, 4.931707"
940588718,94058871800012,,99,,QUANZHOU,,,,,,,47.91A,JINJIANGHUANLANGYIXINGDIANZISHANGWUYOUXIANGONGSI,,,,47.91A,NAFRev2,94058871800012.0,
397869348,39786934800029,4334ZC,85150,LES ACHARDS,,85152,,,,,,43.34Z,SARL P. BURNELEAU,,,,43.34Z,NAFRev2,39786934800029.0,"46.603624, -1.664094"
499311173,49931117300037,,45140,SAINT-JEAN-DE-LA-RUELLE,,45285,,,,,,94.99Z,INSTITUT LEAN FRANCE,,,,94.99Z,NAFRev2,49931117300037.0,"47.915441, 1.878838"
477523302,47752330200024,,[ND],MEUDON,,92048,[ND],,,,[ND],62.02A,[ND],[ND],[ND],[ND],62.02A,NAFRev2,47752330200024.0,"48.804093282, 2.227332801"
497669747,49766974700014,,75003,PARIS,,75103,,,,,,68.20B,POITOU CHARLOT,,,,68.20B,NAFRev2,49766974700014.0,"48.861539, 2.363578"
825190382,82519038200010,,75013,PARIS,,75113,,,,,,68.32B,SCI AVEA SAINT JULIEN CHAPTEUIL,,,,68.32B,NAFRev2,82519038200010.0,"48.821852, 2.35169"
419818828,41981882800016,,64500,SAINT-JEAN-DE-LUZ,,64483,,,,,,86.90B,,,,,86.90B,NAFRev2,41981882800016.0,"43.384716, -1.662003"
837921105,83792110500024,,[ND],GIMONT,,32147,[ND],,,,[ND],66.19B,[ND],[ND],[ND],[ND],66.19B,NAFRev2,83792110500024.0,"43.620987218, 0.879692871"
480792639,48079263900043,,75020,PARIS,,75120,,,,,,41.10A,BACCARA,,,,41.10A,NAFRev2,48079263900043.0,"48.872035, 2.393576"
953855665,95385566500014,,80000,AMIENS,,80021,,,,,,68.20A,DOURNEL - FORESTIER INDIVISION,,,,68.20A,NAFRev2,95385566500014.0,"49.904717, 2.2683"
901429720,90142972000013,1399ZB,75020,PARIS,,75120,,,,,,13.99Z,,,,,13.99Z,NAFRev2,90142972000013.0,"48.848792, 2.400959"
325398618,32539861800034,3250AA,68120,PFASTATT,,68256,,,,,,32.50A,TECHNEY SARL,,,,32.50A,NAFRev2,32539861800034.0,"47.767086, 7.313607"
931461297,93146129700018,,[ND],ARRAS,,62041,[ND],,,,[ND],47.91B,[ND],[ND],[ND],[ND],47.91B,NAFRev2,93146129700018.0,"50.290017375, 2.766050504"
925300550,92530055000017,,84220,ROUSSILLON,,84102,,,,,,70.10Z,DU VIN AUX EPICES,,,,47.11B,NAFRev2,92530055000017.0,"43.896686, 5.306117"
404173965,40417396500041,,54000,NANCY,,54395,,,,,,69.10Z,,,,,69.10Z,NAFRev2,40417396500041.0,"48.687714, 6.171458"
821353562,82135356200019,,08000,CHARLEVILLE-MEZIERES,,08105,,,,,,93.12Z,MANCHESTER - PETANQUE,,,,93.12Z,NAFRev2,82135356200019.0,"49.763895, 4.691938"
495227456,49522745600011,,[ND],ORIGNY-EN-THIERACHE,,02574,[ND],,,,[ND],70.10Z,[ND],[ND],[ND],[ND],70.10Z,NAFRev2,49522745600011.0,"49.886071205, 4.011069622"
935288381,93528838100012,,87280,LIMOGES,,87085,,,,,MOD ADAM COUTURE,95.29Z,,,,,95.29Z,NAFRev2,93528838100012.0,"45.878974, 1.291214"
918600834,91860083400017,,60260,LAMORLAYE,,60346,,,,,,62.01Z,PULP'IN,,,,62.01Z,NAFRev2,91860083400017.0,"49.166728, 2.418901"
518713904,51871390400010,,21000,DIJON,,21231,,,,,,68.20B,JAVAG,,,,68.20B,NAFRev2,51871390400010.0,"47.310974, 4.994433"
487479792,48747979200029,,62120,RACQUINGHEM,,62684,,,,,,68.20B,F.M.P.IMMOBILIER,,,,68.20B,NAFRev2,48747979200029.0,
390776672,39077667200037,,30129,REDESSAN,,30211,,,,,,01.13Z,,,,,01.13Z,NAFRev2,39077667200037.0,"43.82843, 4.504985"
800441701,80044170100011,,13001,MARSEILLE,,13201,,,,,,70.10Z,MAGIC,,,,47.71Z,NAFRev2,80044170100011.0,"43.296572, 5.386006"
437732670,43773267000017,,67570,ROTHAU,,67414,,,,,,68.20A,SCI JACQUEMIN-ROCHE RICHERENCHES,,,,68.20A,NAFRev2,43773267000017.0,"48.46488, 7.21663"
998962039,99896203900017,,13008,MARSEILLE,,13208,,,,,,70.22Z,HOLDING SLV,,,,70.22Z,NAFRev2,99896203900017.0,"43.277911, 5.390669"
389735291,38973529100012,,29200,BREST,,29019,,,,,,68.20B,SCI PACIM,,,,68.20B,NAFRev2,38973529100012.0,"48.389294, -4.492935"
793203662,79320366200010,,24220,MARNAC,,24254,,,,,,86.90F,,,,,86.90F,NAFRev2,79320366200010.0,"44.825147, 1.035734"
824739429,82473942900010,,35310,BREAL-SOUS-MONTFORT,,35037,,,,,,94.99Z,AMICALE BREALAISE DU CYCLOTOURISME,,,,94.99Z,NAFRev2,82473942900010.0,"48.048288, -1.864094"
450561303,45056130300048,,[ND],SEVRES,,92072,[ND],,,,[ND],66.22Z,[ND],[ND],[ND],[ND],66.22Z,NAFRev2,45056130300048.0,"48.820931268, 2.209262898"
404750507,40475050700026,,92350,LE PLESSIS-ROBINSON,,92060,,,,,,90.03A,,,,,90.03A,NAFRev2,40475050700026.0,"48.781233, 2.2747"
902760073,90276007300012,4932ZA,57100,THIONVILLE,,57672,,,,,,49.32Z,TAXI DES CAPUCINS,,,,49.32Z,NAFRev2,90276007300012.0,"49.356898, 6.1644"
983293135,98329313500015,,75008,PARIS 8,,75108,,,,,,43.99C,HABITAT CONSTRUCTION TRANSACTION,,,,43.99C,NAFRev2,98329313500015.0,"48.869893, 2.30194"
900852161,90085216100026,,93290,TREMBLAY-EN-FRANCE,,93073,,,,,,49.32Z,,,,,49.32Z,NAFRev2,90085216100026.0,"48.948364, 2.590904"
891037699,89103769900016,9602AB,97411,SAINT-PAUL,,97415,,,,,POZ BEAUTE,96.02A,,,,,96.02A,NAFRev2,89103769900016.0,"-20.998557, 55.320054"
845022300,84502230000014,,[ND],LES TROIS-ILETS,,97231,[ND],,,,[ND],03.11Z,[ND],[ND],[ND],[ND],03.11Z,NAFRev2,84502230000014.0,"14.526853908, -61.03767392"
425364197,42536419700011,,38000,GRENOBLE,,38185,,,,,,88.99B,ASS  DAUPHINE MOLDAVIE,,,,88.99B,NAFRev2,42536419700011.0,"45.193994, 5.73107"
925405722,92540572200016,,65390,ANDREST,,65007,,,,,,16.23Z,SUMIKUB,,,,16.23Z,NAFRev2,92540572200016.0,"43.317363, 0.066391"
