SIREN,SIRET,Activité principale de l'établissement,Code postal de l'établissement,Commune de l'établissement,Libellé de la commune de l'établissement à l'étranger,Code commune de l'établissement,Code postal de l'établissement 2,Libellé de la commune de l'établissement 2,Libellé de la commune de l'établissement étranger 2,Code de la commune de l'établissement 2,Dénomination usuelle de l'établissement,Activité principale de l'établissement.1,Dénomination de l'unité légale,Dénomination usuelle de l'unité légale 1,Dénomination usuelle de l'unité légale 2,Dénomination usuelle de l'unité légale 3,Activité principale de l'unité légale,Nomenclature de l'activité principale de l'unité légale,SIRET du siège de l'unité légale,Géolocalisation de l'établissement
883682122,88368212200014,,75017,PARIS,,75117,,,,,,68.20A,,,,,68.20A,NAFRev2,88368212200014.0,"48.886101, 2.311422"
821176302,82117630200023,,62155,MERLIMONT,,62571,,,,,,93.29Z,CARACOLLE,,,,93.29Z,NAFRev2,82117630200023.0,"50.463787, 1.577517"
949265839,94926583900017,,94700,MAISONS-ALFORT,,94046,,,,,,68.20A,INDIVISION LECHARTIER,,,,68.20A,NAFRev2,94926583900017.0,"48.798805, 2.432523"
438712291,43871229100014,,75008,PARIS,,75108,,,,,,68.32A,SOCIETE CIVILE IMMOBILIERE MASSION I,,,,68.32A,NAFRev2,43871229100014.0,"48.868266, 2.3092"
897647780,89764778000013,,[ND],VALLAURIS,,06155,[ND],,,,[ND],68.20A,[ND],[ND],[ND],[ND],68.20A,NAFRev2,89764778000013.0,"43.576531207, 7.058100993"
995077088,99507708800012,,69270,CAILLOUX-SUR-FONTAINES,,69033,,,,,,68.20B,SCI CLHARMONIE,,,,68.20B,NAFRev2,99507708800012.0,"45.847341, 4.874606"
499616464,49961646400016,,02160,CRAONNE,,02234,,,,,,94.99Z,COLLECTIF DE RECHERCHE INTERNATIONAL ET DE DEBATS SUR LE PREMIER CONFLIT MONDIAL,,,,94.99Z,NAFRev2,49961646400016.0,"49.440075, 3.786554"
878725001,87872500100019,,,,SHENZHEN,,,,,,,47.91A,SHENZHENSHI KANIKEJI YOUXIAN GONGSI,,,,47.91A,NAFRev2,87872500100019.0,
951394766,95139476600012,,82000,MONTAUBAN,,82121,,,,,ELLE ET MANUE,93.29Z,,,,,93.29Z,NAFRev2,95139476600012.0,"44.020832, 1.368032"
811859172,81185917200017,5610CR,39000,LONS-LE-SAUNIER,,39300,,,,,LA DOUCE HEURE,56.10A,LA DOUCE HEURE,,,,56.10A,NAFRev2,81185917200017.0,"46.674091, 5.554346"
332605351,33260535100037,,97450,SAINT-LOUIS,,97414,,,,,,47.78C,SOCIETE H K,,,,47.78C,NAFRev2,33260535100037.0,"-21.285153, 55.408376"
948152921,94815292100029,,13830,ROQUEFORT-LA-BEDOULE,,13085,,,,,,43.22B,GH FLUIDES,,,,43.22B,NAFRev2,94815292100029.0,"43.249595, 5.613375"
979591328,97959132800013,,[ND],ODARS,,31402,[ND],,,,[ND],74.10Z,[ND],[ND],[ND],[ND],74.10Z,NAFRev2,97959132800013.0,"43.521970176, 1.593318084"
388143018,38814301800066,,[ND],SAUBRIGUES,,40292,[ND],,,,[ND],86.90E,,,,,86.90E,NAFRev2,38814301800066.0,"43.607938446, -1.321474498"
884181025,88418102500013,,33370,YVRAC,,33554,,,,,CHATEAU DE HAUT-COULON,01.21Z,SCEA DU CHATEAU DE HAUT-COULON,,,,01.21Z,NAFRev2,88418102500013.0,"44.877981, -0.453448"
820547586,82054758600017,,42100,SAINT-ETIENNE,,42218,,,,,,01.49Z,,,,,01.49Z,NAFRev2,82054758600017.0,"45.421575, 4.422261"
822427514,82242751400010,,67100,STRASBOURG,,67482,,,,,,94.99Z,NEOLIVEVENTS,,,,94.99Z,NAFRev2,82242751400010.0,"48.555426, 7.766319"
990799017,99079901700019,,[ND],CAUSSADE,,82037,[ND],,,,[ND],85.59B,[ND],[ND],[ND],[ND],85.59B,NAFRev2,99079901700019.0,"44.156907773, 1.543699696"
502140916,50214091600011,,58000,NEVERS,,58194,,,,,,68.32A,SYNDIC,,,,68.32A,NAFRev2,50214091600011.0,"46.989798, 3.159672"
937608685,93760868500031,,42100,SAINT-ETIENNE,,42218,,,,,AK TRANSPORT,49.41A,AK TRANSPORT,,,,49.41A,NAFRev2,93760868500031.0,"45.440704, 4.411429"
323600734,32360073400020,,75001,PARIS,,75101,,,,,,93.29Z,LES TROTTOIRS DE BUENOS AIRES,,,,93.29Z,NAFRev2,32360073400020.0,"48.859722, 2.347696"
508761475,50876147500013,,90300,CRAVANCHE,,90029,,,,,,56.30Z,,BAR DE LA FONTAINE,,,56.30Z,NAFRev2,50876147500013.0,"47.653442, 6.830947"
